original_filename,page,file_url,platform_link,SupplierName,InvoiceNumber,InvoiceDate,Project_Name,Total,Amount,Qty,Unit_Price,Item,Description,col1,col2
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 268,591.60","4,792.0",$ 56.05,1,10 ° PVC SDR 18,LF,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 13,122.00",360.0,$ 36.45,2,"8 "" PVC SDR 18",LF,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 1,374.30",54.0,$ 25.45,3,"6 "" PVC SDR 18",LF,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 
S 2,067.00 
57.640.00","156.0 
22.0","$ 
$ 13.25 
2,620.00","4 
5","2 * HDPE 
10 Gate Valve & Box","LF 
EA",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",S 6.135.00,3.0,"$ 2,045.00",6,8 Gate Valve & Box,EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 5,450.00",5.0,"$ 1,090.00",7,"10 "" x 10 "" MJ Tee",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 2,670.00",1.0,"$ 2,670.00",8,"10 "" x 10 "" Cut in Tee",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 2,916.00",3.0,$ 972.00,9,"10 "" x 8 "" MJ Tee",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 
$ 1.005.00 
2,127.00","1.0 
3.0","$ 
$ 1,005.00 
709.00","10 
11","10 "" x 6 "" MJ Tee 
8 "" x 8 "" MJ Tee","EA 
EA",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","S 2,058.00",3.0,$ 686.00,12,"8 "" x 6 "" MJ Tee",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 1,866.00",3.0,$ 622.00,13,"8 x 2 "" MJ Tee",EA,
