original_filename,page,file_url,platform_link,InvoiceDate,Project_Name,SupplierName,Total,InvoiceNumber,Unit_Price,Item,Amount,Qty,Description,col1
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,$ 40.90,1,"$ 21,472.50",525.0,"15 "" RCP CL III",LF
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,$ 49.80,2,"$ 98,305.20","1,974.0","18 "" RCP CL III",LF
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,$ 73.50,3,"$ 73,500.00","1,000.0","24 "" RCP CL III",LF
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,$ 69 101.00,4,"$ 34,340.00",340.0,"30 "" RCP CL III",LF
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,$ 140.00,5,"$ 43,400.00",310.0,"36 "" RCP CL III",LF
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,$ 190.00,6,"$ 434,530.00","2,287.0","42 "" RCP CL III",LF
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,$ 217.00,7,"$ 61,194.00",282.0,"48 "" RCP CL III",LF
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,$ 48.35,8,"$ 64,402.20","1,332.0","18 "" ADS HP",LF
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"$ 1,175.00",9,"$ 31,725.00",27.0,"18 "" ADS Cap",EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"$ 8,515.00",10,"$ 136,240.00",16.0,"Type "" 9 "" Curb Inlet",EA
