original_filename,page,file_url,platform_link,SupplierName,Total,InvoiceDate,InvoiceNumber,Project_Name,Item,Qty,Unit_Price,Description,Amount,col1,col2
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,1,1.0,"$ 7,115.00",Mobilization,"$ 7,115.00",LS,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,2,1.0,"$ 5,535.00",Construction Entrance,"$ 5,535.00",EA,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,3,1.0,"$ 8,115.00",NPDES Compliance,"$ 8,115.00",LS,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,4,"5,342.0",1.60 $,Silt Fence,"$ 8,547.20",LF,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,5,61.0,184.00 $,Inlet Protection,"$ 11,224.00",EA,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,6,1.0,"$ 22,755.00",Clearing,"$ 22,755.00",LS,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,7,"146,790.0",$ 3.42,Excavation,"$ 502,021.80",CY,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,8,"187,285.0",$ 15.20,Import Fill,"$ 2,846,732.00",CY,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,9,1.0,"$ 7,800.00",Grading,"$ 7,800.00",LS,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,10,1.0,"$ 5,200.00",Fine Grading,"$ 5,200.00",LS,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,11,37.0,$ 390.00,Discing,"$ 14,430.00",AC,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,12,"12,389.0",$ 2.40,Bahia Sod,"$ 29,733.60",SY,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,13,1.0,$ 615.00,Remove Existing Concrete Trough,$ 615.00,LS,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,14,"4,617.0",$ 1.85,Remove Wire Fence,"$ 8,541.45",LF,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,15,"20,865.0",$ 0.30,Seed and Mulch Phase 2,"$ 6,259.50",SY,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,16,"3,500.0",$ 22.25,Dewatering / Demucking,"$ 77,875.00",CY,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,17,1.0,"$ 94,085.00","Survey , Stakeouts and As - builts .","$ 94,085.00",LS,
Screenshot 2023-11-09 235324.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/2ea13151-6b00-4818-b746-238d2f1bf58e.jpeg?expires=1699576221&or=0&s=f36a22f33724312bc9cada8312067638,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83473a21-7f2d-11ee-a802-5e57e8326af7,"DEME CONSTRUCTION , LLC","3,656,584.55",07/25/23,22004-14,NAME : Manatee County Logistics,18,BY OTHERS,N / A,Geotechnical Testing,N / A,LS,
