original_filename,page,file_url,platform_link,Total,SupplierName,Project_Name,InvoiceDate,InvoiceNumber,Qty,Amount,Unit_Price,Item,Description,col1,col2
Screenshot 2023-11-09 235529.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/5b9fc3aa-78c7-4b23-8b86-0d3a769ee5a6.jpeg?expires=1699883543&or=0&s=2fc55df614359c94897f9776d36ae9f6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8878ccd8-7f2d-11ee-86c1-1eab5321aa10,"1,949,199.80","DEME CONSTRUCTION , LLC",Manatee County Logistics,08/25/23,22004-15,"16,208.0","$ 174,236.00",$ 10.75,1,"1 "" Type SP 9.5 Asphalt ( 1st Lift ) 
( Light )",SY,
Screenshot 2023-11-09 235529.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/5b9fc3aa-78c7-4b23-8b86-0d3a769ee5a6.jpeg?expires=1699883543&or=0&s=2fc55df614359c94897f9776d36ae9f6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8878ccd8-7f2d-11ee-86c1-1eab5321aa10,"1,949,199.80","DEME CONSTRUCTION , LLC",Manatee County Logistics,08/25/23,22004-15,"16,208.0","S 166,942.40",$ 10.30,2,"1 "" Type SP 9.5 Asphalt ( 2nd Lift ) 
( Light )",SY,
Screenshot 2023-11-09 235529.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/5b9fc3aa-78c7-4b23-8b86-0d3a769ee5a6.jpeg?expires=1699883543&or=0&s=2fc55df614359c94897f9776d36ae9f6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8878ccd8-7f2d-11ee-86c1-1eab5321aa10,"1,949,199.80","DEME CONSTRUCTION , LLC",Manatee County Logistics,08/25/23,22004-15,"16,208.0","S 239,878.40",$ SS 14.80,3,"6 "" Lime Rock Base ( Light )",SY,
Screenshot 2023-11-09 235529.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/5b9fc3aa-78c7-4b23-8b86-0d3a769ee5a6.jpeg?expires=1699883543&or=0&s=2fc55df614359c94897f9776d36ae9f6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8878ccd8-7f2d-11ee-86c1-1eab5321aa10,"1,949,199.80","DEME CONSTRUCTION , LLC",Manatee County Logistics,08/25/23,22004-15,"20,706.0","$ 118,024.20",$ 5.70,4,"12 "" Stabilized Subgrade LBR40 
( Light )",SY,
Screenshot 2023-11-09 235529.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/5b9fc3aa-78c7-4b23-8b86-0d3a769ee5a6.jpeg?expires=1699883543&or=0&s=2fc55df614359c94897f9776d36ae9f6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8878ccd8-7f2d-11ee-86c1-1eab5321aa10,"1,949,199.80","DEME CONSTRUCTION , LLC",Manatee County Logistics,08/25/23,22004-15,"18,891.0","$ 227,636.55",$ 12.05,5,"1.5 "" Type SP 12.5 Asphalt ( 1st Lift ) 
( Heavy )",SY,
Screenshot 2023-11-09 235529.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/5b9fc3aa-78c7-4b23-8b86-0d3a769ee5a6.jpeg?expires=1699883543&or=0&s=2fc55df614359c94897f9776d36ae9f6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8878ccd8-7f2d-11ee-86c1-1eab5321aa10,"1,949,199.80","DEME CONSTRUCTION , LLC",Manatee County Logistics,08/25/23,22004-15,"18,891.0","$ 185,131.80",$ 9.80,6,"1 "" Type SP 9.5 Asphalt ( 2nd Lift ) 
( Heavy )",SY,
Screenshot 2023-11-09 235529.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/5b9fc3aa-78c7-4b23-8b86-0d3a769ee5a6.jpeg?expires=1699883543&or=0&s=2fc55df614359c94897f9776d36ae9f6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8878ccd8-7f2d-11ee-86c1-1eab5321aa10,"1,949,199.80","DEME CONSTRUCTION , LLC",Manatee County Logistics,08/25/23,22004-15,"18,891.0","$ 339,093.45",$ 17.95,7,"8 "" Lime Rock Base ( Heavy )",SY,
Screenshot 2023-11-09 235529.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/5b9fc3aa-78c7-4b23-8b86-0d3a769ee5a6.jpeg?expires=1699883543&or=0&s=2fc55df614359c94897f9776d36ae9f6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8878ccd8-7f2d-11ee-86c1-1eab5321aa10,"1,949,199.80","DEME CONSTRUCTION , LLC",Manatee County Logistics,08/25/23,22004-15,"21,690.0","$ 123,633.00",$ 5.70,8,"12 "" Stabilized Subgrade LBR40 
( Heavy )",SY,
Screenshot 2023-11-09 235529.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/5b9fc3aa-78c7-4b23-8b86-0d3a769ee5a6.jpeg?expires=1699883543&or=0&s=2fc55df614359c94897f9776d36ae9f6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8878ccd8-7f2d-11ee-86c1-1eab5321aa10,"1,949,199.80","DEME CONSTRUCTION , LLC",Manatee County Logistics,08/25/23,22004-15,"21,525.0","$ 115,158.75",$ 5.35,9,"4 "" Thick Concrete Sidewalk Non 
reinforced",SF,
Screenshot 2023-11-09 235529.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/5b9fc3aa-78c7-4b23-8b86-0d3a769ee5a6.jpeg?expires=1699883543&or=0&s=2fc55df614359c94897f9776d36ae9f6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8878ccd8-7f2d-11ee-86c1-1eab5321aa10,"1,949,199.80","DEME CONSTRUCTION , LLC",Manatee County Logistics,08/25/23,22004-15,"2,245.0","$ 22,786.75",$ 10.15,10,"Thickened Edge Concrete 
Sidewalk Non - reinforced",SF,
