original_filename,page,file_url,platform_link,Project_Name,SupplierName,InvoiceNumber,InvoiceDate,Total,Description,Item,Amount,Qty,Unit_Price,col1,col2
Screenshot 2023-11-09 235515.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/b5218622-63a4-412a-96be-5d8410b63ca7.jpeg?expires=1699883922&or=0&s=2d1a3127f8b092cdeb1ba4d29120fda3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8888de7a-7f2d-11ee-86c2-1eab5321aa10,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900",22004-15,08/25/23,"3,656,584.55",Mobilization,1,"$ 7,115.00",1.0,"$ 7,115.00",LS,
Screenshot 2023-11-09 235515.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/b5218622-63a4-412a-96be-5d8410b63ca7.jpeg?expires=1699883922&or=0&s=2d1a3127f8b092cdeb1ba4d29120fda3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8888de7a-7f2d-11ee-86c2-1eab5321aa10,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900",22004-15,08/25/23,"3,656,584.55",Construction Entrance,2,"$ 5,535.00",1.0,"$ 5,535.00",EA,
Screenshot 2023-11-09 235515.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/b5218622-63a4-412a-96be-5d8410b63ca7.jpeg?expires=1699883922&or=0&s=2d1a3127f8b092cdeb1ba4d29120fda3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8888de7a-7f2d-11ee-86c2-1eab5321aa10,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900",22004-15,08/25/23,"3,656,584.55",NPDES Compliance,3,"$ 8,115.00",1.0,"$ 8,115.00",LS,
Screenshot 2023-11-09 235515.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/b5218622-63a4-412a-96be-5d8410b63ca7.jpeg?expires=1699883922&or=0&s=2d1a3127f8b092cdeb1ba4d29120fda3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8888de7a-7f2d-11ee-86c2-1eab5321aa10,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900",22004-15,08/25/23,"3,656,584.55",Silt Fence,4,"$ 8,547.20","5,342.0",1.60 $ 69,LF,
Screenshot 2023-11-09 235515.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/b5218622-63a4-412a-96be-5d8410b63ca7.jpeg?expires=1699883922&or=0&s=2d1a3127f8b092cdeb1ba4d29120fda3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8888de7a-7f2d-11ee-86c2-1eab5321aa10,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900",22004-15,08/25/23,"3,656,584.55",Inlet Protection,5,"$ 11,224.00",61.0,184.00 $ 69,EA,
Screenshot 2023-11-09 235515.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/b5218622-63a4-412a-96be-5d8410b63ca7.jpeg?expires=1699883922&or=0&s=2d1a3127f8b092cdeb1ba4d29120fda3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8888de7a-7f2d-11ee-86c2-1eab5321aa10,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900",22004-15,08/25/23,"3,656,584.55",Clearing,6,"$ 22,755.00",1.0,"$ 22,755.00",LS,
Screenshot 2023-11-09 235515.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/b5218622-63a4-412a-96be-5d8410b63ca7.jpeg?expires=1699883922&or=0&s=2d1a3127f8b092cdeb1ba4d29120fda3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8888de7a-7f2d-11ee-86c2-1eab5321aa10,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900",22004-15,08/25/23,"3,656,584.55",Excavation,7,"502,021.80 $","146,790.0",$ 3.42,CY,
Screenshot 2023-11-09 235515.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/b5218622-63a4-412a-96be-5d8410b63ca7.jpeg?expires=1699883922&or=0&s=2d1a3127f8b092cdeb1ba4d29120fda3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8888de7a-7f2d-11ee-86c2-1eab5321aa10,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900",22004-15,08/25/23,"3,656,584.55",Import Fill,8,"$ 2,846,732.00","187,285.0",$ 15.20,CY,
Screenshot 2023-11-09 235515.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/b5218622-63a4-412a-96be-5d8410b63ca7.jpeg?expires=1699883922&or=0&s=2d1a3127f8b092cdeb1ba4d29120fda3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8888de7a-7f2d-11ee-86c2-1eab5321aa10,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900",22004-15,08/25/23,"3,656,584.55",Grading,9,"$ 7,800.00",1.0,"$ 7,800.00",LS,
Screenshot 2023-11-09 235515.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/b5218622-63a4-412a-96be-5d8410b63ca7.jpeg?expires=1699883922&or=0&s=2d1a3127f8b092cdeb1ba4d29120fda3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/8888de7a-7f2d-11ee-86c2-1eab5321aa10,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900",22004-15,08/25/23,"3,656,584.55",Fine Grading,10,"$ 5,200.00",1.0,"$ 5,200.00",LS,
