original_filename,page,file_url,platform_link,InvoiceNumber,Project_Name,SupplierName,InvoiceDate,Total,Qty,Item,Description,Unit_Price,Amount,col1,col2
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",525.0,1,"15 "" RCP CL III",$ 40.90,"$ 21,472.50",LF,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90","1,974.0",2,"18 "" RCP CL III",$ 49.80,"98,305.20 $",LF,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90","1,000.0",3,"24 "" RCP CL III",$ 73.50,"$ 73,500.00",LF,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",340.0,4,"30 "" RCP CL III",101.00,"$ 34,340.00",LF,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",310.0,5,"36 "" RCP CL III",$ 140.00,"$ 43,400.00",LF,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90","2,287.0",6,"42 "" RCP CL III",$ 190.00,"$ 434,530.00",LF,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",282.0,7,"48 "" RCP CL III",217.00,"$ 61,194.00",LF,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90","1,332.0",8,"18 "" ADS HP",$ 48.35,"$ 64,402.20",LF,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",27.0,9,"18 "" ADS Cap","$ 1,175.00","$ 31,725.00",EA,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",16.0,10,"Type "" 9 "" Curb Inlet","69 8,515.00 $","$ 136,240.00",EA,
