original_filename,page,file_url,platform_link,InvoiceDate,InvoiceNumber,Total,Project_Name,SupplierName,Item,Unit_Price,Amount,Qty,Description,col1,col2
DemeConstruction2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/973fb733-eb18-4791-b192-d1b4d82f81ca-1.jpeg?expires=1699320800&or=0&s=ea82b6ba6e9171e753e15e7b8fde2165,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbab5e9c-7ce9-11ee-aeba-9ed985f60ee4,06/23/23,22004-13,"1,949,199.80",Manatee County Logistics,"DEME CONSTRUCTION , LLC",1,$ 10.75,"$ 174,236.00","16,208.0","1 "" Type SP 9.5 Asphalt ( 1st Lift ) 
( Light )",SY,
DemeConstruction2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/973fb733-eb18-4791-b192-d1b4d82f81ca-1.jpeg?expires=1699320800&or=0&s=ea82b6ba6e9171e753e15e7b8fde2165,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbab5e9c-7ce9-11ee-aeba-9ed985f60ee4,06/23/23,22004-13,"1,949,199.80",Manatee County Logistics,"DEME CONSTRUCTION , LLC",2,$ 10.30,"$ 166,942.40","16,208.0","1 "" Type SP 9.5 Asphalt ( 2nd Lift ) 
( Light )",SY,
DemeConstruction2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/973fb733-eb18-4791-b192-d1b4d82f81ca-1.jpeg?expires=1699320800&or=0&s=ea82b6ba6e9171e753e15e7b8fde2165,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbab5e9c-7ce9-11ee-aeba-9ed985f60ee4,06/23/23,22004-13,"1,949,199.80",Manatee County Logistics,"DEME CONSTRUCTION , LLC",3,$ 14.80,"$ 239,878.40","16,208.0","6 "" Lime Rock Base ( Light )",SY,
DemeConstruction2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/973fb733-eb18-4791-b192-d1b4d82f81ca-1.jpeg?expires=1699320800&or=0&s=ea82b6ba6e9171e753e15e7b8fde2165,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbab5e9c-7ce9-11ee-aeba-9ed985f60ee4,06/23/23,22004-13,"1,949,199.80",Manatee County Logistics,"DEME CONSTRUCTION , LLC",4,$ 5.70,"$ 118,024.20","20,706.0","12 "" Stabilized Subgrade LBR40 
( Light )",SY,
DemeConstruction2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/973fb733-eb18-4791-b192-d1b4d82f81ca-1.jpeg?expires=1699320800&or=0&s=ea82b6ba6e9171e753e15e7b8fde2165,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbab5e9c-7ce9-11ee-aeba-9ed985f60ee4,06/23/23,22004-13,"1,949,199.80",Manatee County Logistics,"DEME CONSTRUCTION , LLC",5,$ 12.05,"$ 227,636.55","18,891.0","1.5 "" Type SP 12.5 Asphalt ( 1st Lift ) 
( Heavy )",SY,
DemeConstruction2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/973fb733-eb18-4791-b192-d1b4d82f81ca-1.jpeg?expires=1699320800&or=0&s=ea82b6ba6e9171e753e15e7b8fde2165,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbab5e9c-7ce9-11ee-aeba-9ed985f60ee4,06/23/23,22004-13,"1,949,199.80",Manatee County Logistics,"DEME CONSTRUCTION , LLC",6,$ GA 9.80,"$ 185,131.80","18,891.0","1 "" Type SP 9.5 Asphalt ( 2nd Lift ) 
( Heavy )",SY,
DemeConstruction2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/973fb733-eb18-4791-b192-d1b4d82f81ca-1.jpeg?expires=1699320800&or=0&s=ea82b6ba6e9171e753e15e7b8fde2165,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbab5e9c-7ce9-11ee-aeba-9ed985f60ee4,06/23/23,22004-13,"1,949,199.80",Manatee County Logistics,"DEME CONSTRUCTION , LLC",7,( A ) $ 17.95,"$ 339,093.45","18,891.0","8 "" Lime Rock Base ( Heavy )",SY,
DemeConstruction2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/973fb733-eb18-4791-b192-d1b4d82f81ca-1.jpeg?expires=1699320800&or=0&s=ea82b6ba6e9171e753e15e7b8fde2165,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbab5e9c-7ce9-11ee-aeba-9ed985f60ee4,06/23/23,22004-13,"1,949,199.80",Manatee County Logistics,"DEME CONSTRUCTION , LLC",8,GA 5.70,"$ 123,633.00","21,690.0","12 "" Stabilized Subgrade LBR40 
( Heavy )",SY,
DemeConstruction2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/973fb733-eb18-4791-b192-d1b4d82f81ca-1.jpeg?expires=1699320800&or=0&s=ea82b6ba6e9171e753e15e7b8fde2165,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbab5e9c-7ce9-11ee-aeba-9ed985f60ee4,06/23/23,22004-13,"1,949,199.80",Manatee County Logistics,"DEME CONSTRUCTION , LLC",9,$ ( 9 ) 5.35,"$ 115,158.75","21,525.0","| 4 "" Thick Concrete Sidewalk Non 
reinforced",SF,
DemeConstruction2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/973fb733-eb18-4791-b192-d1b4d82f81ca-1.jpeg?expires=1699320800&or=0&s=ea82b6ba6e9171e753e15e7b8fde2165,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbab5e9c-7ce9-11ee-aeba-9ed985f60ee4,06/23/23,22004-13,"1,949,199.80",Manatee County Logistics,"DEME CONSTRUCTION , LLC",10,$ 10.15,"$ 22,786.75","2,245.0","Thickened Edge Concrete 
| Sidewalk Non - reinforced",SF,
