original_filename,page,file_url,platform_link,SupplierName,InvoiceNumber,InvoiceDate,Project_Name,Total,Description,Amount,Unit_Price,Qty,Item,col1,col2
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","15 "" RCP CL III","$ 21,472.50",GA $ 40.90,525.0,1,LF,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","18 "" RCP CL III","$ 98,305.20",$ 49.80,"1,974.0",2,LF,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","24 "" RCP CL III","73,500.00 $",69 73.50 $,"1,000.0",3,LF,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","30 "" RCP CL III","$ 34,340.00",$ 101.00,340.0,4,LF,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","36 "" RCP CL III","43,400.00 $",$ 140.00,310.0,5,LF,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","42 "" RCP CL III","$ 434,530.00",190.00 $,"2,287.0",6,LF,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","48 "" RCP CL III","61,194.00 $",$ 217.00 GA,282.0,7,LF,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","18 "" ADS HP","$ 64,402.20",$ 48.35,"1,332.0",8,LF,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","18 "" ADS Cap","$ 31,725.00","$ 1,175.00",27.0,9,EA,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","Type "" 9 "" Curb Inlet","$ 136,240.00","$ 8,515.00 GA",16.0,10,EA,
