original_filename,page,file_url,platform_link,InvoiceDate,InvoiceNumber,Project_Name,SupplierName,Total,Description,Amount,Qty,Unit_Price,Item,col1,col2,col3,col4,col5
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699316261&or=0&s=ede0e8af706a54817309c0098b80c780,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,05/25/23,22004-12,Manatee County Logistics,"DEME CONSTRUCTION , LLC","8,204,437.77",10 ° PVC SDR 18,,,,1,"4,792.0",LF,$ 56.05,"$ 268,591.60",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699316261&or=0&s=ede0e8af706a54817309c0098b80c780,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,05/25/23,22004-12,Manatee County Logistics,"DEME CONSTRUCTION , LLC","8,204,437.77","8 "" PVC SDR 18",,,,2,360.0,LF,$ 36.45,"$ 13,122.00",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699316261&or=0&s=ede0e8af706a54817309c0098b80c780,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,05/25/23,22004-12,Manatee County Logistics,"DEME CONSTRUCTION , LLC","8,204,437.77","6 "" PVC SDR 18",,,,3,54.0,LF,$ 25.45,"$ 1,374.30",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699316261&or=0&s=ede0e8af706a54817309c0098b80c780,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,05/25/23,22004-12,Manatee County Logistics,"DEME CONSTRUCTION , LLC","8,204,437.77","2 * HDPE 
10 Gate Valve & Box",,,,"4 
5","156.0 
22.0","LF 
EA","$ 
$ 13.25 
2,620.00","$ 
S 2,067.00 
57.640.00",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699316261&or=0&s=ede0e8af706a54817309c0098b80c780,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,05/25/23,22004-12,Manatee County Logistics,"DEME CONSTRUCTION , LLC","8,204,437.77",8 Gate Valve & Box,,,,6,3.0,EA,"$ 2,045.00",S 6.135.00,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699316261&or=0&s=ede0e8af706a54817309c0098b80c780,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,05/25/23,22004-12,Manatee County Logistics,"DEME CONSTRUCTION , LLC","8,204,437.77","10 "" x 10 "" MJ Tee",,,,7,5.0,EA,"$ 1,090.00","$ 5,450.00",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699316261&or=0&s=ede0e8af706a54817309c0098b80c780,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,05/25/23,22004-12,Manatee County Logistics,"DEME CONSTRUCTION , LLC","8,204,437.77","10 "" x 10 "" Cut in Tee",,,,8,1.0,EA,"$ 2,670.00","$ 2,670.00",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699316261&or=0&s=ede0e8af706a54817309c0098b80c780,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,05/25/23,22004-12,Manatee County Logistics,"DEME CONSTRUCTION , LLC","8,204,437.77","10 "" x 8 "" MJ Tee",,,,9,3.0,EA,$ 972.00,"$ 2,916.00",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699316261&or=0&s=ede0e8af706a54817309c0098b80c780,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,05/25/23,22004-12,Manatee County Logistics,"DEME CONSTRUCTION , LLC","8,204,437.77","10 "" x 6 "" MJ Tee 
8 "" x 8 "" MJ Tee",,,,"10 
11","1.0 
3.0","EA 
EA","$ 
$ 1,005.00 
709.00","$ 
$ 1.005.00 
2,127.00",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699316261&or=0&s=ede0e8af706a54817309c0098b80c780,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,05/25/23,22004-12,Manatee County Logistics,"DEME CONSTRUCTION , LLC","8,204,437.77","8 "" x 6 "" MJ Tee",,,,12,3.0,EA,$ 686.00,"S 2,058.00",
