original_filename,page,file_url,platform_link,Project_Name,SupplierName,Total,InvoiceDate,InvoiceNumber,Unit_Price,Item,Description,Amount,Qty,col1,col2
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,"$ 7,115.00",1,Mobilization,"$ 7,115.00",1.0,LS,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,"$ 5,535.00",2,Construction Entrance,"$ 5,535.00",1.0,EA,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,"$ 8,115.00",3,NPDES Compliance,"$ 8,115.00",1.0,LS,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,( A $ 1.60,4,Silt Fence,"8,547.20 $ GA","5,342.0",LF,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,$ 184.00,5,Inlet Protection,"11,224.00 $",61.0,EA,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,"22,755.00 $",6,Clearing,"22,755.00 $",1.0,LS,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,$ 3.42,7,Excavation,"$ 502,021.80","146,790.0",CY,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,$ 15.20,8,Import Fill,"$ 2,846,732.00","187,285.0",CY,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,"CA $ 7,800.00",9,Grading,"$ 7,800.00",1.0,LS,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,"$ 5,200.00",10,Fine Grading,"$ 5,200.00",1.0,LS,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,$ 390.00 GA,11,Discing,"$ 14,430.00",37.0,AC,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,$ 2.40,12,Bahia Sod,"$ 29,733.60","12,389.0",SY,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,615.00 GA,13,Remove Existing Concrete Trough,$ 615.00,1.0,LS,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,1.85 $,14,Remove Wire Fence,"$ 8,541.45","4,617.0",LF,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,0.30 $,15,Seed and Mulch Phase 2,"$ 6,259.50","20,865.0",SY,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,$ 22.25,16,Dewatering / Demucking,"$ 77,875.00","3,500.0",CY,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,"$ 94,085.00",17,"Survey , Stakeouts and As - builts","$ 94,085.00",1.0,LS,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,N / A,18,Geotechnical Testing,N / A,BY OTHERS,LS,
all_2-3.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a508e37e-473a-4f39-bc79-0630014921f9-1.jpeg?expires=1699319417&or=0&s=fa324e3cb9e6d12c40cb1a2e6e68d46e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/5133542c-7cdc-11ee-a172-0a5d580da23f,NAME : Manatee County Logistics,"DEME CONSTRUCTION , LLC","3,656,584.55",05/25/23,22004-12,,,,,,,
