original_filename,page,file_url,platform_link,Total,Project_Name,SupplierName,InvoiceDate,InvoiceNumber,Amount,Qty,Unit_Price,Item,Description,col1
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 11,775.25",335.0,( 9 ) $ 35.15,1,"8 "" PVC SDR 26 ( 0-6 ' Cut )",LF
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 20,385.00",453.0,$ 45.00,2,"8 "" PVC SDR 26 ( 6 ' - 8 ' Cut )",LF
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 7,099.00",155.0,45.80 $,3,"8 "" PVC SDR 26 ( 8 ' - 10 "" Cut )",LF
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 7,315.00",140.0,52.25 $,4,"8 "" PVC SDR 26 ( 10 "" -12 "" Cut )",LF
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 25,558.40",448.0,$ 57.05,5,"8 "" PVC SDR 26 ( 12 ' - 14 ' Cut )",LF
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,$ 335.20,4.0,83.80 $,6,"8 "" PVC SDR 26 ( 14 ' - 16 ' Cut )",LF
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 33,540.00",2.0,"$ 16,770.00",7,Manhole ( 0-6 ' Cut ) ( Polymer ),EA
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 65,070.00",3.0,"$ 21,690.00",8,Manhole ( 6¹ - 8 ' Cut ) ( Polymer ),EA
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 67,335.00",3.0,"$ 22,445.00",9,Manhole ( 12 ' - 14 ' Cut ) ( Polymer ),EA
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 28,415.00",1.0,"$ 28,415.00",10,"Manhole ( Drop ) ( Lined ) ( 12 ' - 14 "" 
Cut ) ( Polymer )",EA
