original_filename,page,file_url,platform_link,SupplierName,Total,Project_Name,InvoiceDate,InvoiceNumber,Qty,Amount,Description,Unit_Price,Item,col1,col2
Screenshot 2023-11-09 235411.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/81aa4e87-ca57-4cde-851e-2089ffdf964e.jpeg?expires=1699576424&or=0&s=f316cb8127465245cb98e47a6420e188,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c86975-7f2d-11ee-8439-96b3a312d3ac,"DEME CONSTRUCTION , LLC","708,378.85","Manatee County Logistics
",07/25/23,22004-14,335.0,"$ 11,775.25","B "" PVC SDR 26 ( 0-6 ' Cut )",$ 35.15,1,LF,
Screenshot 2023-11-09 235411.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/81aa4e87-ca57-4cde-851e-2089ffdf964e.jpeg?expires=1699576424&or=0&s=f316cb8127465245cb98e47a6420e188,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c86975-7f2d-11ee-8439-96b3a312d3ac,"DEME CONSTRUCTION , LLC","708,378.85","Manatee County Logistics
",07/25/23,22004-14,453.0,"$ 20,385.00",8 PVC SDR 26 ( 6-8 ' Cut ),$ 45.00,2,LF,
Screenshot 2023-11-09 235411.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/81aa4e87-ca57-4cde-851e-2089ffdf964e.jpeg?expires=1699576424&or=0&s=f316cb8127465245cb98e47a6420e188,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c86975-7f2d-11ee-8439-96b3a312d3ac,"DEME CONSTRUCTION , LLC","708,378.85","Manatee County Logistics
",07/25/23,22004-14,155.0,"$ 7,099.00",PVC SDR 26 ( 8-10 Cut ),$ 45.80,38,5555 LF,
Screenshot 2023-11-09 235411.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/81aa4e87-ca57-4cde-851e-2089ffdf964e.jpeg?expires=1699576424&or=0&s=f316cb8127465245cb98e47a6420e188,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c86975-7f2d-11ee-8439-96b3a312d3ac,"DEME CONSTRUCTION , LLC","708,378.85","Manatee County Logistics
",07/25/23,22004-14,140.0,"$ 7,315.00",8 PVC SDR 26 ( 10-12 Cut ),$ 52.25,4,LF,
Screenshot 2023-11-09 235411.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/81aa4e87-ca57-4cde-851e-2089ffdf964e.jpeg?expires=1699576424&or=0&s=f316cb8127465245cb98e47a6420e188,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c86975-7f2d-11ee-8439-96b3a312d3ac,"DEME CONSTRUCTION , LLC","708,378.85","Manatee County Logistics
",07/25/23,22004-14,448.0,"$ 25,558.40",8 PVC SDR 26 ( 12-14 ' Cut ),$ 57.05,5,LF,
Screenshot 2023-11-09 235411.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/81aa4e87-ca57-4cde-851e-2089ffdf964e.jpeg?expires=1699576424&or=0&s=f316cb8127465245cb98e47a6420e188,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c86975-7f2d-11ee-8439-96b3a312d3ac,"DEME CONSTRUCTION , LLC","708,378.85","Manatee County Logistics
",07/25/23,22004-14,4.0,$ 335.20,8 PVC SDR 26 ( 14-16 ' Cut ),83.80 $,6,LF,
Screenshot 2023-11-09 235411.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/81aa4e87-ca57-4cde-851e-2089ffdf964e.jpeg?expires=1699576424&or=0&s=f316cb8127465245cb98e47a6420e188,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c86975-7f2d-11ee-8439-96b3a312d3ac,"DEME CONSTRUCTION , LLC","708,378.85","Manatee County Logistics
",07/25/23,22004-14,2.0,"$ 33,540.00",Manhole ( 0-6 ' Cut ) ( Polymer ),"$ 16,770.00",7,EA,
Screenshot 2023-11-09 235411.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/81aa4e87-ca57-4cde-851e-2089ffdf964e.jpeg?expires=1699576424&or=0&s=f316cb8127465245cb98e47a6420e188,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c86975-7f2d-11ee-8439-96b3a312d3ac,"DEME CONSTRUCTION , LLC","708,378.85","Manatee County Logistics
",07/25/23,22004-14,3.0,"$ 65,070.00",Manhole ( 6 ' - 8 Cut ) ( Polymer ),"$ 21,690.00",8,EA,
Screenshot 2023-11-09 235411.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/81aa4e87-ca57-4cde-851e-2089ffdf964e.jpeg?expires=1699576424&or=0&s=f316cb8127465245cb98e47a6420e188,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c86975-7f2d-11ee-8439-96b3a312d3ac,"DEME CONSTRUCTION , LLC","708,378.85","Manatee County Logistics
",07/25/23,22004-14,3.0,"$ 67,335.00",Manhole ( 12-14 ' Cut ) ( Polymer ),"$ 22,445.00",9,EA,
Screenshot 2023-11-09 235411.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/81aa4e87-ca57-4cde-851e-2089ffdf964e.jpeg?expires=1699576424&or=0&s=f316cb8127465245cb98e47a6420e188,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c86975-7f2d-11ee-8439-96b3a312d3ac,"DEME CONSTRUCTION , LLC","708,378.85","Manatee County Logistics
",07/25/23,22004-14,1.0,"$ 28,415,00","Manhole ( Drop ) ( Lined ) ( 12-14 
Cut ) ( Polymer )","$ 28,415.00",10,"1 EA 
时",
