original_filename,page,file_url,platform_link,SupplierName,InvoiceDate,Project_Name,Total,InvoiceNumber,Qty,Item,Unit_Price,Amount,Description,col1,col2
Screenshot 2023-11-09 235354.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/673ed090-79b4-42df-b4ab-979543095422.jpeg?expires=1699576615&or=0&s=0fc95d0640c9c574a38bfd3b83b00951,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c8b88c-7f2d-11ee-843a-96b3a312d3ac,"DEME CONSTRUCTION , LLC, 755-5000",07/25/23,Manatee County Logistics,"19,49,199.80",22004-14,"16,208.00",1,S 10.75,"$ 174,236.00","1 "" Type SP 9.5 Asphalt ( 1st Lift ) 
( Light )",SY,
Screenshot 2023-11-09 235354.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/673ed090-79b4-42df-b4ab-979543095422.jpeg?expires=1699576615&or=0&s=0fc95d0640c9c574a38bfd3b83b00951,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c8b88c-7f2d-11ee-843a-96b3a312d3ac,"DEME CONSTRUCTION , LLC, 755-5000",07/25/23,Manatee County Logistics,"19,49,199.80",22004-14,"16,208.00",2,$ 10.30,"$ 166,942.40","1 "" Type SP 9.5 Asphalt ( 2nd Lift ) 
( Light )",SY,
Screenshot 2023-11-09 235354.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/673ed090-79b4-42df-b4ab-979543095422.jpeg?expires=1699576615&or=0&s=0fc95d0640c9c574a38bfd3b83b00951,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c8b88c-7f2d-11ee-843a-96b3a312d3ac,"DEME CONSTRUCTION , LLC, 755-5000",07/25/23,Manatee County Logistics,"19,49,199.80",22004-14,"16,208.00",3,$ 14.80,"$ 239,878.40","6 "" Lime Rock Base ( Light )",SY,
Screenshot 2023-11-09 235354.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/673ed090-79b4-42df-b4ab-979543095422.jpeg?expires=1699576615&or=0&s=0fc95d0640c9c574a38bfd3b83b00951,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c8b88c-7f2d-11ee-843a-96b3a312d3ac,"DEME CONSTRUCTION , LLC, 755-5000",07/25/23,Manatee County Logistics,"19,49,199.80",22004-14,"20,706.00",4,$ 5.70,"$ 118,024.20","12 "" Stabilized Subgrade LBR40 
( Light )",SY,
Screenshot 2023-11-09 235354.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/673ed090-79b4-42df-b4ab-979543095422.jpeg?expires=1699576615&or=0&s=0fc95d0640c9c574a38bfd3b83b00951,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c8b88c-7f2d-11ee-843a-96b3a312d3ac,"DEME CONSTRUCTION , LLC, 755-5000",07/25/23,Manatee County Logistics,"19,49,199.80",22004-14,"18,891.00",5,$ 12.05,"S 227,636.55","1.5 "" Type SP 12.5 Asphalt ( 1st Lift ) 
( Heavy )",SY,
Screenshot 2023-11-09 235354.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/673ed090-79b4-42df-b4ab-979543095422.jpeg?expires=1699576615&or=0&s=0fc95d0640c9c574a38bfd3b83b00951,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c8b88c-7f2d-11ee-843a-96b3a312d3ac,"DEME CONSTRUCTION , LLC, 755-5000",07/25/23,Manatee County Logistics,"19,49,199.80",22004-14,"18,891.00",6,is 9.80,"$ 185,131.80","1 "" Type SP 9.5 Asphalt ( 2nd Lift ) 
( Heavy )",SY,
Screenshot 2023-11-09 235354.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/673ed090-79b4-42df-b4ab-979543095422.jpeg?expires=1699576615&or=0&s=0fc95d0640c9c574a38bfd3b83b00951,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c8b88c-7f2d-11ee-843a-96b3a312d3ac,"DEME CONSTRUCTION , LLC, 755-5000",07/25/23,Manatee County Logistics,"19,49,199.80",22004-14,"18,891.00",7,$ s 17.95,"$ 339,093.45",8 Lime Rock Base ( Heavy ),SY,
Screenshot 2023-11-09 235354.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/673ed090-79b4-42df-b4ab-979543095422.jpeg?expires=1699576615&or=0&s=0fc95d0640c9c574a38bfd3b83b00951,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c8b88c-7f2d-11ee-843a-96b3a312d3ac,"DEME CONSTRUCTION , LLC, 755-5000",07/25/23,Manatee County Logistics,"19,49,199.80",22004-14,"21,690.00",8,$ 20 5.70,"$ 123,633.00","12 "" Stabilized Subgrade LBR40 
( Heavy )",SY,
Screenshot 2023-11-09 235354.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/673ed090-79b4-42df-b4ab-979543095422.jpeg?expires=1699576615&or=0&s=0fc95d0640c9c574a38bfd3b83b00951,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c8b88c-7f2d-11ee-843a-96b3a312d3ac,"DEME CONSTRUCTION , LLC, 755-5000",07/25/23,Manatee County Logistics,"19,49,199.80",22004-14,"21,525.00",9,$ 5.35,"$ 115,158.75","4 "" Thick Concrete Sidewalk Non 
reinforced",SF,
Screenshot 2023-11-09 235354.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/673ed090-79b4-42df-b4ab-979543095422.jpeg?expires=1699576615&or=0&s=0fc95d0640c9c574a38bfd3b83b00951,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83c8b88c-7f2d-11ee-843a-96b3a312d3ac,"DEME CONSTRUCTION , LLC, 755-5000",07/25/23,Manatee County Logistics,"19,49,199.80",22004-14,"2,245.00",10,$ 10.15,"$ 22,786,75","Thickened Edge Concrete 
Sidewalk Non - reinforced",SF,
