original_filename,page,file_url,platform_link,InvoiceNumber,Project_Name,Total,InvoiceDate,SupplierName,Unit_Price,Amount,Qty,Item,Description,col1,col2,col3
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"S 33,300.00",,1,Mobilization,"$ 33,300.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"S 42,200.00",,2,Survey,$ 42.200.00,,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 26,180.00",,3,Water Costs,"$ 26,180.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 28,978.00",,4,SWPPP,$ 28.978.00,,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 79,864.00",,5,Clear & Grub / Removals,"$ 79,864.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 9,648.00",,6,"Scarify 8 "" & Recompact Subgrade","$ 9,648.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 53,430.00",,7,Overexcavate 3 ' Below Foundations & Recompact,"$ 53,430,00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 51,805.00",,8,Excavate & Place Fill,"$ 51,805.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 72,420.00",,9,Place & Compact Import Fill,"$ 72,420.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 3,444.00",,10,Backfill Exterior Ramp Walls,"$ 3,444.00",,
