original_filename,page,file_url,platform_link,Project_Name,InvoiceDate,Total,SupplierName,InvoiceNumber,Qty,Description,Item,Unit_Price,Amount,col1,col2,col3,col4
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Mobilization,1,,"$ 33,300.00","$ 33,300.00",,"$ 33,300.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Survey,2,,$ 40.350.00,$ 42.200.00,,"$ 42,200.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Water Costs,3,,$ 26.180.00,$ 26.180.00,,"$ 26,180.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,SWPPP,4,,"28,976.00",$ 28.978.00,,"$ 28,078.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Clear & Grub / Removals,5,,$ 79.864.00,"$ 79,864.00",|,"79,864.00 $",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Scartly && Recompact Subgrade,6,,"9,648.00",9.648.00 $,,"9,648.00 $",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Overexcavate 3 Below Foundations & Recompact,7,,"$ 53,430.00",S 53.430.00,,"$ 53,430.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Excavate & Place Fill,8,,"$ 51,905.00",$ 51.805.00,,"$ 51,805.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Place & Compact Import Fil,.,,"$ 72,420.00",$ 72.420.00,,"72,420.00 $",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Back Exterior Ramp Walls,10,,3444.00,$ 3.444.00,,"3,444.00 $",
