original_filename,page,file_url,platform_link,Project_Name,InvoiceNumber,Total,InvoiceDate,SupplierName,Amount,Item,Qty,Unit_Price,Description,col1,col2,col3
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",$ 33.300.00,1,,,Mobilization,"$ 33,300.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",$ 42.200.00,2,,,Survey,"$ 33,300.00 
S42,200.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","$ 20,180.00",3,,,Water Costs,"$ 28,180.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",$ 28.978.00,4,,,SWPPP,"$ 28,878.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","$ 79,884.00",5,,,Clear & Grub / Removals,"S 79,664.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","$ 
9,648.00",6,,,Scarify & Recompact Subgrade,"$ 9,648.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","$ 63,430.00",7,,,Overexcavate 3 ' Below Foundations & Recompact,"S 53,430.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","$ 51,805.00",U,,,Excavate & Place Fill,"$ 1,805.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",$ 72.420.00,9,,,Place & Compact import Fill,S 72.420.00,,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",|| $ 3.444.00,10,,,Backfill Exterior Ramp Walls,"$ 3,444.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","$ 32,096.00",11,,,Fine Grade Ste,$ 32.098.00,,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","$ 18,200.00",12,,,Cut Curb & Sidewalk Grade,"$ 18,200,00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",$ 11.300.00,13,,,Backfill Curbs,"$ 11,300.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",$ 4320.00,14,,,Fine Grade for PCCP,$ 4.320.00,,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",$ 32.830.00,15,,,8 Lime Under Asphalt Paving,"32,830.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","$ 15,920.00",16,,,12 Lime Under PCCP,"S 15,920.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","13 14,405.00",17,,,Place Geo Fabric,"$ 14,405.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",$ 13.384.00,18,,,Fine Grade for Asphalt Paving,"S 13,384.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","$ 83,456.00",19,,,"Pave 4 "" AC on ABC","$ 63,456.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",$ 102.702.00,20,,,Pave 6 AC on ABC,"162,702,00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",1 $ 34.320.00,21,,,install 12 ABC Access Road,"$ 34,320,00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",S 24.811.00,22,,,"Patch 4 "" AC en ABC","S 24,811.00",,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC","$ 
7439.18",23,,,CO1,S,$ 7439.18,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",$ 1.176.88,24,,,CO2,$,$ 1.176.88,
Screenshot 2023-11-13 155037.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/17344a7f-26c2-4edb-afde-d8dd35105ea4.jpeg?expires=1699887411&or=0&s=de97985b32223f30b8ddb8f83129a09b,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ee0b75e4-8211-11ee-ac80-3e4046c83b8b,PROJECT NAME : PFG Phoenix Additions,,"562,198.20",02/22/23,"11 Gunsight Construction Companies , LLC",S 395.85,26,,,CO4,"S 
.",S 895.85,
