original_filename,page,file_url,platform_link,Total,InvoiceDate,SupplierName,InvoiceNumber,Project_Name,Qty,Unit_Price,Amount,Item,Description,col1,col2,col3
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"S 33,300.00",1,Mobilization,"33,300,00 S",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 42,200.00",2,Survey,"42,200.00 S",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"to 
15 $ 26,160.00",3,Water Costs,"26,180.00 TS",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 28,978.00",4,SWPPP,"$ 28,978.00",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 79,864.00",5,Clear & Grub / Removals,"$ 79,864.00",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"S 9,648.00","6 
6","Scarify 8 "" & Recompact Subgrade","$ 9,648.00",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 53,430.00",7,Overexcavate 3 Below Foundations & Recompact,"53,430.00 S",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"| S 51,805.00",8,Excavate & Place Fill,$ 51.805.00,,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"Ts 
72.420.00 S",9,Place & Compact Import Fill,$ 72.420.00,,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,3.444.00 S,10,Backfill Exterior Remp Walls,"S 3,444.00",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"32,006.00 S $",11,Fine Grade Site,"S 32,096.00",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 18,200.00",12,Cut Curb & Sidewalk Grade,$ 18.200.00,,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 11,300.00",13,Backfill Curbs,$ 11.300.00,,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 4,320.00",14,Fine Grade for PCCP,$ 4.320.00,,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,$ 32.830.00,15,"8 "" Lime Under Asphalt Paving","$ 32,830.00",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 15,920.00",16,"12 "" Lime Under PCCP","$ 15,920.00",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 14,405.00",17,Place Geo Fabric,"$ 14,405.00",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 13,384,00",18,Fine Grade for Asphalt Paving,13.384.00 $,,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 83,456.00",19,"Pave 4 "" AC on 8 "" ABC","$ 83,456.00",,
