InvoiceDate,InvoiceNumber,Total,Project_Name,SupplierName,Item,Description,Qty,Unit_Price,Amount,Month
2023-07-25,,264124.5,,Knight Trenching and Excavating,,Mobilization,,,"$ 4,000.00",2023-07
2023-07-25,,264124.5,,Knight Trenching and Excavating,,Demolition / Clearing,,,"$ 22,000.00",2023-07
2023-07-25,,264124.5,,Knight Trenching and Excavating,,Mass Grading,,,"$ 174,029.00",2023-07
2023-07-25,,264124.5,,Knight Trenching and Excavating,,Fine Grading,,,"$ 20,000.00",2023-07
2023-07-25,,264124.5,,Knight Trenching and Excavating,,Re - spread topsoil,,,"$ 10,500.00",2023-07
2023-07-25,,264124.5,,Knight Trenching and Excavating,,C / O 1,,,"$ 13,430.00",2023-07
2023-07-25,,264124.5,,Knight Trenching and Excavating,,C / O 2,,,"$ 20,165,50",2023-07
2023-08-23,,313720.35,,Knight Trenching and Excavating,,Mobilization,,,"$ 4,000.00",2023-08
2023-08-23,,313720.35,,Knight Trenching and Excavating,,Demolition / Clearing,,,"$ 22,000.00",2023-08
2023-08-23,,313720.35,,Knight Trenching and Excavating,,Mass Grading,,,"$ 174,029.00",2023-08
2023-08-23,,313720.35,,Knight Trenching and Excavating,,Fine Grading,,,"$ 20,000.00",2023-08
2023-08-23,,313720.35,,Knight Trenching and Excavating,,Re - spread Topsoil,,,"$ 10,500.00",2023-08
2023-08-23,,313720.35,,Knight Trenching and Excavating,,C / O 1,,,"$ 13,430.00",2023-08
2023-08-23,,313720.35,,Knight Trenching and Excavating,,C / O 2,,,"$ 20,165.50",2023-08
2023-08-23,,313720.35,,Knight Trenching and Excavating,,C / O 3,,,"$ 49,595.85",2023-08
2023-06-20,,264124.5,,Knight Trenching and Excavating,,Mobilization,,,"$ 4,000.00",2023-06
2023-06-20,,264124.5,,Knight Trenching and Excavating,,Demolition / clearing,,,"$ 22,000.00",2023-06
2023-06-20,,264124.5,,Knight Trenching and Excavating,,Mass Grading,,,"$ 174,029.00",2023-06
2023-06-20,,264124.5,,Knight Trenching and Excavating,,Fine Grading,,,"$ 20,000.00",2023-06
2023-06-20,,264124.5,,Knight Trenching and Excavating,,Re - spread Top Soil,,,"$ 10,500.00",2023-06
2023-06-20,,264124.5,,Knight Trenching and Excavating,,C / O 1,,,"$ 13,430.00",2023-06
2023-06-20,,264124.5,,Knight Trenching and Excavating,,C / O 2,,,"$ 20,165.50",2023-06
2023-09-25,,313720.35,,Knight Trenching and Excavating,,Mobilization,,,"$ 4,000.00",2023-09
2023-09-25,,313720.35,,Knight Trenching and Excavating,,Demolition / Clearing,,,"$ 22,000.00",2023-09
2023-09-25,,313720.35,,Knight Trenching and Excavating,,Mass Grading,,,"$ 174,029.00",2023-09
2023-09-25,,313720.35,,Knight Trenching and Excavating,,Fine Grading,,,"$ 20,000.00",2023-09
2023-09-25,,313720.35,,Knight Trenching and Excavating,,Re - spread Topsoil,,,"$ 10,500.00",2023-09
2023-09-25,,313720.35,,Knight Trenching and Excavating,,C / 01,,,"$ 13,430.00",2023-09
2023-09-25,,313720.35,,Knight Trenching and Excavating,,C / O2,,,"$ 20,165.50",2023-09
2023-09-25,,313720.35,,Knight Trenching and Excavating,,C / O 3,,,"$ 49,595.85",2023-09
2023-05-23,,230529.0,,Knight Trenching and Excavating,,Mobilization,,,"$ 4,000.00",2023-05
2023-05-23,,230529.0,,Knight Trenching and Excavating,,Demolition / clearing,,,"$ 22,000.00",2023-05
2023-05-23,,230529.0,,Knight Trenching and Excavating,,Mass grading,,,"$ 174,029.00",2023-05
2023-05-23,,230529.0,,Knight Trenching and Excavating,,Fine grading,,,"$ 20,000.00",2023-05
2023-05-23,,230529.0,,Knight Trenching and Excavating,,Re - spread topsoil,,,"$ 10,500.00",2023-05
