InvoiceDate,InvoiceNumber,Total,Project_Name,SupplierName,Item,Description,Qty,Unit_Price,Amount,Month
2023-07-25,,264124.5,,ARCO - ABF,,Mobilization,,,"$ 4,000.00",2023-07
2023-07-25,,264124.5,,ARCO - ABF,,Demolition / Clearing,,,"$ 22,000.00",2023-07
2023-07-25,,264124.5,,ARCO - ABF,,Mass Grading,,,"$ 174,029.00",2023-07
2023-07-25,,264124.5,,ARCO - ABF,,Fine Grading,,,"$ 20,000.00",2023-07
2023-07-25,,264124.5,,ARCO - ABF,,Re - spread topsoil,,,"$ 10,500.00",2023-07
2023-07-25,,264124.5,,ARCO - ABF,,C / O 1,,,"$ 13,430.00",2023-07
2023-07-25,,264124.5,,ARCO - ABF,,C / O 2,,,"$ 20,165,50",2023-07
2023-08-23,,313720.35,,ARCO - ABF,,Mobilization,,,"$ 4,000.00",2023-08
2023-08-23,,313720.35,,ARCO - ABF,,Demolition / Clearing,,,"$ 22,000.00",2023-08
2023-08-23,,313720.35,,ARCO - ABF,,Mass Grading,,,"$ 174,029.00",2023-08
2023-08-23,,313720.35,,ARCO - ABF,,Fine Grading,,,"$ 20,000.00",2023-08
2023-08-23,,313720.35,,ARCO - ABF,,Re - spread Topsoil,,,"$ 10,500.00",2023-08
2023-08-23,,313720.35,,ARCO - ABF,,C / O 1,,,"$ 13,430.00",2023-08
2023-08-23,,313720.35,,ARCO - ABF,,C / O 2,,,"$ 20,165.50",2023-08
2023-08-23,,313720.35,,ARCO - ABF,,C / O 3,,,"$ 49,595.85",2023-08
2023-06-20,,264124.5,,Arco,,Mobilization,,,"$ 4,000.00",2023-06
2023-06-20,,264124.5,,Arco,,Demolition / clearing,,,"$ 22,000.00",2023-06
2023-06-20,,264124.5,,Arco,,Mass Grading,,,"$ 174,029.00",2023-06
2023-06-20,,264124.5,,Arco,,Fine Grading,,,"$ 20,000.00",2023-06
2023-06-20,,264124.5,,Arco,,Re - spread Top Soil,,,"$ 10,500.00",2023-06
2023-06-20,,264124.5,,Arco,,C / O 1,,,"$ 13,430.00",2023-06
2023-06-20,,264124.5,,Arco,,C / O 2,,,"$ 20,165.50",2023-06
2023-09-25,,313720.35,,ARCOPADI,,Mobilization,,,"$ 4,000.00",2023-09
2023-09-25,,313720.35,,ARCOPADI,,Demolition / Clearing,,,"$ 22,000.00",2023-09
2023-09-25,,313720.35,,ARCOPADI,,Mass Grading,,,"$ 174,029.00",2023-09
2023-09-25,,313720.35,,ARCOPADI,,Fine Grading,,,"$ 20,000.00",2023-09
2023-09-25,,313720.35,,ARCOPADI,,Re - spread Topsoil,,,"$ 10,500.00",2023-09
2023-09-25,,313720.35,,ARCOPADI,,C / 01,,,"$ 13,430.00",2023-09
2023-09-25,,313720.35,,ARCOPADI,,C / O2,,,"$ 20,165.50",2023-09
2023-09-25,,313720.35,,ARCOPADI,,C / O 3,,,"$ 49,595.85",2023-09
2023-05-23,,230529.0,,ABF trucking,,Mobilization,,,"$ 4,000.00",2023-05
2023-05-23,,230529.0,,ABF trucking,,Demolition / clearing,,,"$ 22,000.00",2023-05
2023-05-23,,230529.0,,ABF trucking,,Mass grading,,,"$ 174,029.00",2023-05
2023-05-23,,230529.0,,ABF trucking,,Fine grading,,,"$ 20,000.00",2023-05
2023-05-23,,230529.0,,ABF trucking,,Re - spread topsoil,,,"$ 10,500.00",2023-05
