original_filename,page,file_url,platform_link,Project_Name,Total,InvoiceNumber,SupplierName,InvoiceDate,Description,Unit_Price,Amount,Qty,Item,col1,col2
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,,,,,,,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Summit GeoEngineering Inspect,"$ 5,355.00","$ 5,355.00",1.00,CO18,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Settlement Agreement,"400,000.00","$ 400,000.00",1.00,CO24,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Mobilization,"$ 2,000.00","$ 2,000.00",1.00,CO07A,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Fine Grading - Spread Loamn,"$ 55,712.00","$ 55,712.00",1.00,CO07B,AL,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,"F & I Deciduous Trees - 2 "" Caliper",$ 450.00,"$ 18,000.00",40.00,CO07C,EA,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,"F & I Shrubs - 18-24 "" H",$ 64.00,"$ 20,224.00",316.00,CO07D,EA,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,F & I Perennials - 1 Gallon,$ 27.00,"$ 27,000.00","1,000.00",CO07E,EA,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Mulch New Plantings,"$ 13,277.00","$ 13,277.00",1.00,CO07F,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,"Hydroseed Lawn Areas - 300,000SF","$ 49,500.00","$ 49,500.00",1.00,C007G,LS,
