original_filename,page,file_url,platform_link,InvoiceNumber,SupplierName,Project_Name,Total,InvoiceDate,Item,Unit_Price,Description,Amount,Qty,col1,col2
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,,,,,,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,5,$ 12.65,Erosion Control @ Site,"$ 54,395.00","4,300.00",LF,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,10,"$ 63,000.00",Tree Clearing @ Site,"$ 63,000.00",1.00,LS,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,20,"$ 17,396.00",Removal of Trees @ Keating,"$ 17,396.00",1.00,LS,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,30,"$ 1,200.00",Traffic Maint @ Tree Clearing,"$ 1,200.00",1.00,LS,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,40,$ 440.00,Police Details,$ 880.00,2.00,DAY,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,"50 
60","$ 3,788.00","Excavate Test Pits - Keating H2O 
Mobilization","$ 3,788.00",1.00,LS,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,60,"$ 12,677.29",Mobilization,"$ 12,677.29",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,"65 
68","$ 49,804.85","Grubbing 
Construction Entrance","$ 49,804.85",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,70,$ 926.53,Pulverize Asphalt Parkiing,"$ 1,853.06",2.00,EA,
