original_filename,page,file_url,platform_link,Project_Name,SupplierName,Total,InvoiceDate,InvoiceNumber,Description,Qty,Unit_Price,Item,Amount,col1,col2
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,,,,,,,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Summit GeoEngineering Inspect,1.00,"$ 5,355.00",CO18,"$ 5,355.00",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Settlement Agreement,1.00,"400,000.00",CO24,"$ 400,000.00",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Mobilization,1.00,"$ 2,000.00",CO07A,"$ 2,000.00",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Fine Grading - Spread Loam,1.00,"$ 55,712.00",CO07B,"$ 55,712.00",AL,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,"F & I Deciduous Trees - 2 "" Caliper",40.00,$ 450.00,CO07C,"$ 18,000.00",EA,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,"F & I Shrubs - 18-24 "" Ht",316.00,$ 64.00,CO07D,"$ 20,224.00",EA,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,F & I Perennials- 1 Gallon,"1,000.00",$ 27.00,CO07E,"$ 27,000.00",EA,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Mulch New Plantings,1.00,"$ 13,277.00",CO07F,"$ 13,277.00",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,"Hydroseed Lawn Areas - 300,000SF",1.00,"$ 49,500.00",CO07G,"$ 49,500.00",LS,
