original_filename,page,file_url,platform_link,InvoiceNumber,SupplierName,Total,Project_Name,InvoiceDate,Amount,Qty,Item,Unit_Price,Description,col1,col2
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 63,226.80","1,170.00",310,$ 54.04,E & B & Pour - Primary Electric,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 56,760.00","43,000.00",400,$ 1.32,Prep Binder & Fine Grade,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"56,760.00",,420,,Gravel Prep Concrete Walks,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 30,660.00","10,500.00 
2,180.00",430,"$ 2.92 
$",Exc Mod Block Walls & Stone,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 15,587.00","2,180.00",440,$ 7.15,Screen / ReSpread Loam / Hydroseed,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 140,085.00","4,500.00",450,$ 31.13,Inf Basin # 1 & Access Road,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 67,057.24",1.00,455,"$ 67,057.24",Inf Basin # 2,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 163,694.96",1.00,,"163,694.96",,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 8,968.68",1.00,"460 
550","$ 8,968.68","Berm Shaping 
F & I Light Bases",,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 83,926.73",37.00,560,"$ 2,268.29",E & B Site Lighting w / Sand,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 38,334.60","4,580.00","560 
600",$ 8.37,"E & B Site Lighting w / Sand 
Roadway Widening - Headwall / Curb",,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 58,963.45",1.00,600,"$ 58,963.45",Roadway Widening - Headwall / Curb,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 112,395.00","29,500.00",720,$ 3.81,Base Orange - Exc / Recompact,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 81,060.00","21,000.00",730,$ 3.86,Base Blue - Exc / Recompact,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 328,960.00","25,600.00",740,$ 12.85,Base Purple / Exc & Jaw Crush,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 99,666.00","33,900.00",750,$ 2.94,Alt - Purple - Exc & Refill,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 200,600.00","68,000.00",760,$ 2.95,Alt - Green - Exc & Refill,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 23,375.88",1.00,"1010 
1070","$ 23,375.88","Turnkey @ Widening Paving - 4 "" 
Backfill Dock Pits",,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 16,249.06",71.00,,$ 228.86,,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 215,000.00",1.00,1100,"215,000.00",Unclassified Excavation,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"5,935,139.82",,,,,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"5,935,139.82",,CO02,,F & I Geo Fabric @ Parking Lot,,
