original_filename,page,file_url,platform_link,SupplierName,Total,InvoiceNumber,Project_Name,InvoiceDate,Qty,Item,Amount,Unit_Price,Description,col1,col2
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,,,,,,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"4,300.00",5,"$ 54,395.00",$ 12.65,Erosion Control @ Site,LF,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,10,"$ 63,000.00","$ 63,000.00",Tree Clearing @ Site,LS,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,20,"$ 17,396.00","$ 17,396.00",Removal of Trees @ Keating,LS,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,30,"$ 1,200.00","$ 1,200.00",Traffic Maint @ Tree Clearing,LS,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,2.00,40,$ 880.00,$ 440.00,Police Details,DAY,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,50,"$ 3,788.00","$ 3,788.00",Excavate Test Pits - Keating H2O,LS,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,60,"$ 12,677.29","$ 12,677.29",Mobilization,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,65,"$ 49,804.85","$ 49,804.85",Grubbing,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,2.00,68,"$ 1,853.06",$ 926.53,Construction Entrance,EA,
