InvoiceDate,InvoiceNumber,Total,Project_Name,SupplierName,Item,Description,Qty,Unit_Price,Amount,Month
2023-02-15,922334.0,1660380.02,EX - 21-0013 / ARCO - Lunenburg Spec Wa,Onyx Corporation,CO22B,Stripping for Trailer Parking,1.0,"$ 7,500.00",$ 7500,2023-02
2023-02-15,922334.0,1660380.02,EX - 21-0013 / ARCO - Lunenburg Spec Wa,Onyx Corporation,CO23A,Reshape Rear Slope / Hydroseed,1.0,"7,500.00 
$ 57,267.26","$ 57,267.26",2023-02
2023-02-15,922334.0,1660380.02,EX - 21-0013 / ARCO - Lunenburg Spec Wa,Onyx Corporation,CO23B,West Driveway Repair / Subdrain,1.0,"$ 20,402.87","$ 20,402.87",2023-02
2023-08-25,922888.0,,EX - 21-0013 / ARCO - Lunenburg Spec Wi,Onyx Corporation,,,,,,2023-08
2023-08-25,922888.0,,EX - 21-0013 / ARCO - Lunenburg Spec Wi,Onyx Corporation,5.0,Erosion Control @ Site,"4,300.00",$ 12.65,"$ 54,395.00",2023-08
2023-08-25,922888.0,,EX - 21-0013 / ARCO - Lunenburg Spec Wi,Onyx Corporation,10.0,Tree Clearing @ Sile,1.00,"$ 63,000.00","$ 63,000.00",2023-08
2023-08-25,922888.0,,EX - 21-0013 / ARCO - Lunenburg Spec Wi,Onyx Corporation,20.0,Removal of Trees @ Keating,1.00,"$ 17,396,00","$ 17,396.00",2023-08
2023-08-25,922888.0,,EX - 21-0013 / ARCO - Lunenburg Spec Wi,Onyx Corporation,30.0,Traffic Maint @ Tree Clearing,1.00,"$ 1,200.00","$ 1,200.00",2023-08
2023-08-25,922888.0,,EX - 21-0013 / ARCO - Lunenburg Spec Wi,Onyx Corporation,40.0,Police Details,2.00,$ 440.00,$ 880.00,2023-08
2023-08-25,922888.0,,EX - 21-0013 / ARCO - Lunenburg Spec Wi,Onyx Corporation,50.0,Excavate Test Pits - Kenting H2O,1.00,"$ 3,788.00","$ 3,788.00",2023-08
2023-08-25,922888.0,,EX - 21-0013 / ARCO - Lunenburg Spec Wi,Onyx Corporation,60.0,Mobilization,1.00,"$ 12,677.29","$ 12,677.29",2023-08
