InvoiceDate,InvoiceNumber,Total,Project_Name,SupplierName,Item,Description,Qty,Unit_Price,Amount,Month
2023-01-31,IN6381433,584.86,,OVERTURE,,Port Authority® Ladies Long Sleeve Performance Staff Shirt,1.0, $ 37.50, $ 37.50,2023-01
2023-01-31,IN6381433,584.86,,OVERTURE,,"NIKE GOLF LADIES DRI - FIT PLAYERS POLO - LG 
BLACK",1.0,$ 56.50,$ 56.50,2023-01
2023-01-31,IN6381433,584.86,,OVERTURE,,"NIKE GOLF LADIES DRI - FIT PLAYERS POLO - LG 
BLACK",1.0,$ 56.50,$ 56.50,2023-01
2023-01-31,IN6381433,584.86,,OVERTURE,,OGIO ™ Ladies Luuma Cocoon Fleece .,1.0,$ 66.00,$ 66.00,2023-01
2023-01-31,IN6381433,584.86,,OVERTURE,,Port Authority® Ladies Long Sleeve Performance Staff Shirt,1.0,$ 37.50,$ 37.50,2023-01
2023-01-31,IN6381433,584.86,,OVERTURE,,Eddie Bauer® Ladies Hooded Soft Shell Parka,1.0,$ 88.00,$ 88.00,2023-01
2023-01-31,IN6381433,584.86,,OVERTURE,,OGIO Ladies Luuma Cocoon Fleece .,1.0,$ 66.00,$ 66.00,2023-01
2023-01-31,IN6381433,584.86,,OVERTURE,,Eddie Bauer® Ladies Hooded Soft Shell Parka,1.0,$ 88.00,$ 88.00,2023-01
2023-01-31,IN6381433,584.86,,OVERTURE,,,,,,2023-01
2023-06-30,IN7025927,499.2,,OVERTURE,,High Visibility Polo,1.0,$ 32.75,$ 32.75,2023-06
2023-06-30,IN7025927,499.2,,OVERTURE,,Nike Dri - FIT Micro Pique 2.0 Polo,1.0,$ 57.50,$ 57.50,2023-06
2023-06-30,IN7025927,499.2,,OVERTURE,,Ogio Commuter Shirt,1.0,$ 51.85,$ 51.85,2023-06
2023-06-30,IN7025927,499.2,,OVERTURE,,Columbia Men's Bahama II Long - Sleeve Shirt,1.0,$ 74.25,$ 74.25,2023-06
2023-06-30,IN7025927,499.2,,OVERTURE,,Carhartt Ⓡ Shoreline Jacket,1.0,$ 160.00,$ 160.00,2023-06
2023-06-30,IN7025927,499.2,,OVERTURE,,Independent Trading Hi Vis Sweatshirt,1.0,$ 32.00,$ 32.00,2023-06
2023-06-30,IN7025927,499.2,,OVERTURE,,"Eddie Bauer® ? Medium Ripstop Duffel 
Carhartt Rugged Professional ™ M Series Cap",1.0,"$ 40.50 
$ 30.00","$ 40.50 
$ 30.00",2023-06
2023-06-30,IN7025927,499.2,,OVERTURE,,Carhartt Rugged Professional ™ M Series Cap,,,$,2023-06
2023-06-30,IN6988938,498.0,,OVERTURE,,High Visibility Polo,1.0,$ 32.75,$ 32.75,2023-06
2023-06-30,IN6988938,498.0,,OVERTURE,,Nike Dri - FIT Micro Pique 2.0 Polo,1.0,$ 57.50,$ 57.50,2023-06
2023-06-30,IN6988938,498.0,,OVERTURE,,Ogio Commuter Shirt,1.0,$ 51.85,$ 51.85,2023-06
2023-06-30,IN6988938,498.0,,OVERTURE,,Columbia Men's BahamaTM II Long - Sleeve Shirt,1.0,$ 74.25,$ 74.25,2023-06
2023-06-30,IN6988938,498.0,,OVERTURE,,Carhartt Ⓒ Shoreline Jacket,1.0,$ 160.00,$ 160.00,2023-06
2023-06-30,IN6988938,498.0,,OVERTURE,,Independent Trading Hi Vis Sweatshirt,1.0,$ 32.00,$ 32.00,2023-06
2023-06-30,IN6988938,498.0,,OVERTURE,,Eddie Bauer® ? Medium Ripstop Duffel,1.0,$ 40.50,$ 40.50,2023-06
2023-06-30,IN6988938,498.0,,OVERTURE,,Carhartt Ⓡ Rugged Professional TM Series Cap,,$ 30.00,$ 30.00,2023-06
2023-06-30,IN6988936,508.6,,OVERTURE,,High Visibility Polo,1.0,$ 32.75,,2023-06
2023-06-30,IN6988936,508.6,,OVERTURE,,Nike Dri - FIT Micro Pique 2.0 Polo,1.0,$ 57.50,,2023-06
2023-06-30,IN6988936,508.6,,OVERTURE,,Ogio Commuter Shirt,1.0,$ 51.85,,2023-06
2023-06-30,IN6988936,508.6,,OVERTURE,,OGIO Ⓡ Slate Polo,1.0,$ 58.50,,2023-06
2023-06-30,IN6988936,508.6,,OVERTURE,,Columbia Men's BahamaTM II Long - Sleeve Shirt,1.0,$ 74.25,,2023-06
2023-06-30,IN6988936,508.6,,OVERTURE,,Dri Duck Men's Cheyenne Jacket,1.0,$ 131.25,,2023-06
2023-06-30,IN6988936,508.6,,OVERTURE,,Eddie Bauer® ? Medium Ripstop Duffel,1.0,$ 40.50,,2023-06
2023-06-30,IN6988936,508.6,,OVERTURE,,Carhartt Ⓒ Rugged Professional ™ M Series Cap,1.0,$ 30.00,,2023-06
2023-06-30,IN6988936,508.6,,OVERTURE,,Independent Trading Hi Vis Sweatshirt,1.0,$ 32.00,,2023-06
2023-06-30,IN6988934,517.16,,OVERTURE,,High Visibility Polo,1.0,$ 32.75,$ 32.75,2023-06
2023-06-30,IN6988934,517.16,,OVERTURE,,Nike Dri - FIT Micro Pique 2.0 Polo,1.0,$ 57.50,$ 57.50,2023-06
