original_filename,page,file_url,platform_link,Project_Name,InvoiceNumber,Total,InvoiceDate,SupplierName,Amount,Qty,Item,Description,Unit_Price,col1,col2,col3,col4,col5
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 83,798.00",,I,General Conditions,,"$ 83,798.00","$ 75,418.20","$ 8,379.80",$ 0.00,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,,,II,Demolition,,"$ 104,851.00","$ 104,851.00","$ 0,00",$ 0.00,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 104,851.00",,,,,,,,,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 567,834.00",,III,Earthwork,,"$ 567,834.00","$ 567,834.00",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 116,002.00",,IV,Drainage Improvements,,"$ 116,002.00","$ 116,002.00",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 13,414.00",,V,Sanitary Sewer Service,,"$ 13,414.00","$ 13,414.00",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 48,482,00",,VI,Concrete Improvements,,"$ 48,482.00","$ 30,058.84","$ 18,423.16","$ 0,00",
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,,,VII,,,"1,09,450.00",,,,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 109,450.00",,,Paving Improvements,,"$ 109,450.00","$ 83,182.00","$ 26,268.00",$ 0.00,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 28,956.00",,VIII,Erosion Control,,"$ 28,956.00","$ 27,218.64","$ 1,737.36",$ 0.00,
