original_filename,page,file_url,platform_link,InvoiceDate,InvoiceNumber,SupplierName,Project_Name,Total,Item,Description,Amount,Qty,Unit_Price,col1,col2,col3,col4,col5
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",I,General Conditions,"$ 83,798.00",,,"$ 83,798.00","$ 83,798.00",$ 0.00,"$ 0,00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",11,Demolition,"$ 104,851.00",,,"$ 104,851.00","$ 104,851.00",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",III E,Earthwork,"$ 567,834.00",,,"$ 567,834.00","$ 567,834.00",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",IV,Drainage Improvements,"116,002,00",,,"$ 116,002.00","$ 116,002.00",$ 0.00,,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",V,Sanitary Sewer Service,"$ 116,002,00",,,,"$ 13,414.00",,$ 0.00,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",,,"$ 13,414.00",,,"$ 13,414.00","$ 13,414.00",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",VI,Concrete Improvements,"$ 48,482.00",,,"$ 48,482,00","$ 48,482.00",$ 0.00,50.00,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",VII,Paving Improvements,"$ 109,450.00",,,"$ 109,450.00","$ 109,450,00",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",VIII,Erosion Control,"$ 28,956.00",,,"$ 28,956.00","$ 28,956.00",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",IX,Geotextile Under Crane Road,"$ 5,495.00",,,"$ 5,495,00","$ 5,495.00",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",,ADDITIONAL WORK,,,,,,,,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35","X 
XI","CO # 1 Fire hydrant removal and storage 
CO # 2","$ 2,807,40",,,"$ 2,807.40","$ 2,807.40",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",XII,Reclaim water add'l scope,"( $ 37,708.82 ) 
$ 4,590.60",,,"( $ 37,708.82 ) 
$ 4,590.60","( $ 37,708.82 ) 
$ 4,590.60","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35","XIII 
XIV","modifications to curb inlet 
remove trees ( drive and prop pond bank )","$ 1,797.07 
$ 814.00",,,"$ 1,797.07 
$ 814.00","$ 1,797.07 
$ 814.00","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
