InvoiceDate,InvoiceNumber,Total,Project_Name,SupplierName,Item,Description,Qty,Unit_Price,Amount,Month
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,I,General Conditions,,,,2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,II,,,,"$ 83,798.00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,II,Demolition,,,"$ 104,851.00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,III,Earthwork,,,"$ 567,834,00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,IV,Drainage Improvements,,,"$ 116,002.00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,V,Sanitary Sewer Service,,,"$ 13,414.00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,VI,Concrete Improvements,,,"$ 48,482.00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,VII,Paving Improvements,,,"$ 109,450.00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,VIII,Erosion Control,,,"$ 28,956.00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,IX,Geotextle Under Crane Road,,,"$ 5,495.00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,,ADDITIONAL WORK,,,,2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,X,CONI Fire hydrant,,,,2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,XI,"CONI Fire hydrant removal and storage 
CO42",,,"$ 2,807.40 
( $ 37,708.82",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,"XII 
XIII","Reclaim water add scope 
modifications to 
carbalet",,,"$ 4,590,60 
$ 1,797.07",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,"XIV 
XV","remove trees ( drive and prop pond bank ) 
Mill overlay stripe south parking lot",,,"$ 814.00 
$ 0.00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,"XVI 
XVII","hydratadi per RFT 23 
excavate and repair existing FDC",,,"$ 1,669 25",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,"XVIII 
XIX","lower existing fire line in conf wisdom 
raising structure tops at grate inlet1 and",,,"$ 4,198.55 
$ 8,000.02",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,XX,"3 
Add D carb south parking lot",,,"$ 4,360.00 
$ 2,769.00",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,"XXI 
XXII","Addl sidewalk 
Raise hydrants",,,"$ 2,835.60 
$ 5,378.02",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,"XXIII 
XIX","Additional mobilization for concrete 
Asphalt escalation",,,"$ 2,852.30 
$ 9,132.71",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,"xx 
XXI","Additional curb at transformers 
100 sq ft of sidewalk removal and replacement",,,"$ 5,065.69",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,XXII,"at four separate locations on site 
31 Concrete",,,"$ 1,222.28",2023-02
2023-02-20,21096-15,1100902.32,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,,bumpers,,,"$ 2,236,65",2023-02
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,I,General Conditions,,,"$ 83,798.00",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,II,Demolition,,,,2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,,,,,"$ 104,851.00",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,III,Earthwork,,,"$ 567,834.00",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,IV,Drainage Improvements,,,"$ 116,002.00",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,V,Sanitary Sewer Service,,,"$ 13,414.00",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,VI,Concrete Improvements,,,"$ 48,482,00",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,VII,,,,,2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,,Paving Improvements,,,"$ 109,450.00",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,VIII,Erosion Control,,,"$ 28,956.00",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,IX,Geotextile Under Crane Road,,,"$ 5,495,00",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,,ADDITIONAL WORK,,,,2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,X,CO # 1 Fire hydrant removal and storage,,,,2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,XI,CO # 2,,,"$ 2,807.40 
( $ 37,708,82 )",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,"XII 
XIII","Reclaim water add'l scope 
modifications to curb inlet",,,"$ 4,590.60 
$ 1,797.07",2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,XIV,remove trees ( drive and prop pond bank ),,,$ 814.00,2023-01
2023-01-20,21096-14,1075530.62,T - 166 Halkey - Roberts Expansion,Raymow Construction Company,"XV 
XVI","Mill overlay stripe south parking lot 
hydrant adj per RFI 23",,,"$ 0.00 
$ 1,669.25",2023-01
