InvoiceDate,InvoiceNumber,Total,Project_Name,SupplierName,Item,Description,Qty,Unit_Price,Amount,Month
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",1.0,"8 "" PVC SDR 26 ( 0-6 ' Cut )",335.0,35.15,"$ 11,775.25",2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",2.0,"8 "" PVC SDR 26 ( 6¹ - 8 ' Cut )",453.0,CA $ 45.00,"$ 20,385.00",2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",3.0,"8 "" PVC SDR 26 ( 8 ' - 10 ' Cut )",155.0,45.80 $,"$ 7,099.00",2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",4.0,"8 "" PVC SDR 26 ( 10 ' - 12 ' Cut )",140.0,52.25 $,"$ 7,315,00",2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",5.0,"8 "" PVC SDR 26 ( 12 ' - 14 ' Cut )",448.0,"$ 57.05 ( 
A )","$ 25,558.40",2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",6.0,"8 "" PVC SDR 26 ( 14 "" -16 ' Cut )",4.0,83.80 $,$ 335.20,2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",7.0,Manhole ( 0-6 ' Cut ) ( Polymer ),2.0,"$ 16,770.00","$ 33,540.00",2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",8.0,Manhole ( 6 ' - 8 ' Cut ) ( Polymer ),3.0,"$ 21,690.00","$ 65,070.00",2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",9.0,Manhole ( 12 ' - 14 ' Cut ) ( Polymer ),3.0,"$ 22,445.00","$ 67,335.00",2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",10.0,"Manhole ( Drop ) ( Lined ) ( 12 ' - 14 ' 
Cut ) ( Polymer )",1.0,"$ 28,415.00","$ 28,415.00",2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",11.0,Lift Station,99 1.0,"$ 370,112.00","| $ 370,112.00",2023-05
2023-05-25,22004-12,708379.62,Manatee County Logistics,"DEME CONSTRUCTION , LLC",12.0,Single Service Connection,3.0,"$ 1,775.00","$ 5,325.00",2023-05
